agency_name,complaint_type,descriptor,location_type,incident_zip,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,resolution_description,community_board,bbl,borough,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,progress_duration,created_year,resolution_action_updated_year
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10470,EAST  234 STREET,,,,,ADDRESS,BRONX,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,12 BRONX,10470,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Graffiti,Graffiti,Comercial,10462,WESTCHESTER AVENUE,,,,,ADDRESS,BRONX,,,Open,The graffiti on this property has been scheduled to be removed by the City.,09 BRONX,10462,BRONX,,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,11101,BORDEN AVENUE,CENTER BOULEVARD,2 STREET,CENTER BOULEVARD,2 STREET,ADDRESS,LONG ISLAND CITY,BORDEN AVENUE,,In Progress,,02 QUEENS,11101,QUEENS,PHONE,,QUEENS,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11225,FLATBUSH AVENUE,HAWTHORNE STREET,WESTBURY COURT,HAWTHORNE STREET,WESTBURY COURT,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,09 BROOKLYN,11225,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Graffiti,Graffiti,Comercial,10462,CASTLE HILL AVENUE,,,,,ADDRESS,BRONX,,,Open,The graffiti on this property has been scheduled to be removed by the City.,09 BRONX,10462,BRONX,,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11239,ERSKINE STREET,SCHROEDERS WALK,GATEWAY DRIVE,SCHROEDERS WALK,GATEWAY DRIVE,ADDRESS,BROOKLYN,ERSKINE STREET,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05 BROOKLYN,11239,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Abandoned Vehicle,With License Plate,Street/Sidewalk,11234,EAST   51 STREET,KINGS HIGHWAY,AVENUE H,KINGS HIGHWAY,AVENUE H,ADDRESS,BROOKLYN,EAST   51 STREET,,In Progress,,18 BROOKLYN,11234,BROOKLYN,ONLINE,,BROOKLYN,Car,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11372,NORTHERN BOULEVARD,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Dirty Condition,Broken Glass,Sidewalk,10039,WEST  147 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  147 STREET,,In Progress,,10 MANHATTAN,10039,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11232,42 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,BROOKLYN,42 STREET,,Closed,The Police Department reviewed your complaint and provided additional information below.,12 BROOKLYN,11232,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11219,63 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,10 BROOKLYN,11219,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11218,EAST    2 STREET,AVENUE F,18 AVENUE,AVENUE F,18 AVENUE,ADDRESS,BROOKLYN,EAST    2 STREET,,Closed,The Police Department issued a summons in response to the complaint.,14 BROOKLYN,11218,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11214,BAY PARKWAY,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,11 BROOKLYN,11214,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Economic Development Corporation,Noise - Helicopter,Other,Above Address,10023,WEST   73 STREET,BROADWAY,WEST END AVENUE,BROADWAY,WEST END AVENUE,ADDRESS,NEW YORK,WEST   73 STREET,,In Progress,,07 MANHATTAN,10023,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10029,1 AVENUE,EAST  114 STREET,EAST  115 STREET,EAST  114 STREET,EAST  115 STREET,ADDRESS,NEW YORK,1 AVENUE,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,11 MANHATTAN,10029,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11229,EAST   23 STREET,AVENUE W,AVENUE X,AVENUE W,AVENUE X,ADDRESS,BROOKLYN,EAST   23 STREET,,In Progress,,15 BROOKLYN,11229,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10472,STRATFORD AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BRONX,10472,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Vehicle,Car/Truck Horn,Street/Sidewalk,10025,BROADWAY,WEST   97 STREET,WEST   98 STREET,WEST   97 STREET,WEST   98 STREET,BLOCKFACE,,,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,Unspecified MANHATTAN,10025,MANHATTAN,PHONE,,MANHATTAN,Truck,,,,,,,Less than a day,2024,2024
Department of Parks and Recreation,Illegal Tree Damage,Bicycle Chained to Tree,Street,10011,6 AVENUE,WEST   11 STREET,WEST   12 STREET,WEST   11 STREET,WEST   12 STREET,ADDRESS,NEW YORK,AVENUE OF THE AMERICAS,,In Progress,,02 MANHATTAN,10011,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11218,CORTELYOU ROAD,EAST    7 STREET,EAST    8 STREET,EAST    7 STREET,EAST    8 STREET,ADDRESS,BROOKLYN,CORTELYOU ROAD,,Closed,The Police Department responded to the complaint and took action to fix the condition.,12 BROOKLYN,11218,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10035,EAST  122 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,11 MANHATTAN,10035,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10467,STEUBEN AVENUE,EAST MOSHOLU PARKWAY NORTH,EAST  208 STREET,EAST MOSHOLU PARKWAY NORTH,EAST  208 STREET,ADDRESS,BRONX,STEUBEN AVENUE,,Closed,The Police Department reviewed your complaint and provided additional information below.,07 BRONX,10467,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11355,COLLEGE POINT BOULEVARD,41 AVENUE,41 ROAD,41 AVENUE,41 ROAD,ADDRESS,FLUSHING,COLLEGE POINT BOULEVARD,,Closed,The Police Department issued a summons in response to the complaint.,07 QUEENS,11355,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11354,137 STREET,,,,,ADDRESS,FLUSHING,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,07 QUEENS,11354,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,EAST   23 STREET,AVENUE X,AVENUE Y,AVENUE X,AVENUE Y,ADDRESS,BROOKLYN,EAST   23 STREET,,In Progress,,15 BROOKLYN,11235,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,11215,11 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,06 BROOKLYN,11215,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11213,ST JOHNS PLACE,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,ADDRESS,BROOKLYN,ST JOHNS PLACE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,08 BROOKLYN,11213,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11210,EAST   35 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,18 BROOKLYN,11210,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10029,EAST  109 STREET,5 AVENUE,MADISON AVENUE,5 AVENUE,MADISON AVENUE,ADDRESS,NEW YORK,EAST  109 STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,11 MANHATTAN,10029,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10027,WEST  124 STREET,,,,,ADDRESS,NEW YORK,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,10 MANHATTAN,10027,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Sanitation,Dirty Condition,Trash,Sidewalk,10039,WEST  147 STREET,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,FREDERICK DOUGLASS BOULEVARD,ADDRESS,NEW YORK,WEST  147 STREET,,In Progress,,10 MANHATTAN,10039,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10030,WEST  133 STREET,,,,,ADDRESS,NEW YORK,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,10 MANHATTAN,10030,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11228,BAY RIDGE PARKWAY,14 AVENUE,15 AVENUE,14 AVENUE,15 AVENUE,ADDRESS,BROOKLYN,BAY RIDGE PARKWAY,,In Progress,,11 BROOKLYN,11228,BROOKLYN,MOBILE,,BROOKLYN,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11229,KINGS HIGHWAY,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,14 BROOKLYN,11229,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,10467,BAINBRIDGE AVENUE,EAST  213 STREET,JEROME AVENUE,EAST  213 STREET,JEROME AVENUE,ADDRESS,BRONX,BAINBRIDGE AVENUE,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,07 BRONX,10467,BRONX,MOBILE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11217,BERGEN STREET,3 AVENUE,4 AVENUE,3 AVENUE,4 AVENUE,ADDRESS,BROOKLYN,BERGEN STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,02 BROOKLYN,11217,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11372,37 AVENUE,,,,,ADDRESS,JACKSON HEIGHTS,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,03 QUEENS,11372,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11001,260 STREET,HILLSIDE AVENUE,EAST WILLISTON AVENUE,HILLSIDE AVENUE,EAST WILLISTON AVENUE,ADDRESS,FLORAL PARK,260 STREET,,Closed,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,13 QUEENS,11001,QUEENS,PHONE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11209,4 AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,10 BROOKLYN,11209,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11231,COLUMBIA STREET,KANE STREET,DEGRAW STREET,KANE STREET,DEGRAW STREET,ADDRESS,BROOKLYN,COLUMBIA STREET,,Closed,The Police Department responded to the complaint and determined that police action was not necessary.,06 BROOKLYN,11231,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Subway,,,,,,,ADDRESS,,,,Assigned,The Department of Homeless Services has sent a mobile outreach response team to the location.,Unspecified MANHATTAN,,MANHATTAN,MOBILE,,MANHATTAN,,,,6,,,Mezzanine,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10455,BECK STREET,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10455,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10455,BECK STREET,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,02 BRONX,10455,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10467,EAST  215 STREET,HOLLAND AVENUE,BARNES AVENUE,HOLLAND AVENUE,BARNES AVENUE,ADDRESS,BRONX,EAST  215 STREET,,In Progress,,12 BRONX,10467,BRONX,MOBILE,,BRONX,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11236,EAST   79 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,18 BROOKLYN,11236,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11236,EAST   79 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,18 BROOKLYN,11236,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11236,EAST   79 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,18 BROOKLYN,11236,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10458,DECATUR AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,07 BRONX,10458,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10458,DECATUR AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,07 BRONX,10458,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,10458,DECATUR AVENUE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,07 BRONX,10458,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10002,LUDLOW STREET,STANTON STREET,EAST    1 STREET,STANTON STREET,EAST    1 STREET,ADDRESS,NEW YORK,LUDLOW STREET,,Closed,The Police Department responded to the complaint and took action to fix the condition.,03 MANHATTAN,10002,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10026,FREDERICK DOUGLASS BOULEVARD,WEST  118 STREET,WEST  119 STREET,WEST  118 STREET,WEST  119 STREET,ADDRESS,NEW YORK,8 AVENUE,,In Progress,,10 MANHATTAN,10026,MANHATTAN,MOBILE,,MANHATTAN,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,VERNON AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,MARCUS GARVEY BOULEVARD,LEWIS AVENUE,ADDRESS,BROOKLYN,VERNON AVENUE,,In Progress,,03 BROOKLYN,11206,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11225,FENIMORE STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10018,WEST   37 STREET,10 AVENUE,AMTRAK-NORTHEAST LINE,10 AVENUE,AMTRAK-NORTHEAST LINE,ADDRESS,NEW YORK,WEST   37 STREET,,Closed,The Police Department responded and upon arrival those responsible for the condition were gone.,04 MANHATTAN,10018,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11691,BEACH   19 STREET,,,,,ADDRESS,FAR ROCKAWAY,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,14 QUEENS,11691,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,11691,BEACH   19 STREET,,,,,ADDRESS,FAR ROCKAWAY,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,14 QUEENS,11691,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10451,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,04 BRONX,10451,BRONX,ONLINE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11209,3 AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,10 BROOKLYN,11209,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11209,3 AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,10 BROOKLYN,11209,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11209,3 AVENUE,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,10 BROOKLYN,11209,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Street/Sidewalk,11220,8 AVENUE,8 AVENUE,60 STREET,8 AVENUE,60 STREET,INTERSECTION,,,,Closed,"The mobile outreach response team offered services to the individual, but the individual did not accept assistance.",07 BROOKLYN,11220,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11224,WEST   28 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,13 BROOKLYN,11224,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10466,EAST  229 STREET,,,,,ADDRESS,BRONX,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,12 BRONX,10466,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11103,47 STREET,,,,,ADDRESS,ASTORIA,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,01 QUEENS,11103,QUEENS,ONLINE,,QUEENS,,,,,,,,Less than a day,2024,2024
Taxi and Limousine Commission,For Hire Vehicle Report,Driver Report - Non Passenger,,11369,DITMARS BOULEVARD,90 STREET,92 STREET,90 STREET,92 STREET,ADDRESS,EAST ELMHURST,DITMARS BOULEVARD,,In Progress,,03 QUEENS,11369,QUEENS,ONLINE,,QUEENS,,,"90-38 DITMARS BOULEVARD, QUEENS (EAST ELMHURST), NY, 11369",,,,,Ongoing,2024,
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10034,COOPER STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,12 MANHATTAN,10034,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10473,STORY AVENUE,PUGSLEY AVENUE,OLMSTEAD AVENUE,PUGSLEY AVENUE,OLMSTEAD AVENUE,ADDRESS,BRONX,STORY AVENUE,,In Progress,,09 BRONX,10473,BRONX,MOBILE,,BRONX,,,,,,,,Ongoing,2024,
New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10044,RIVER ROAD,ROOSEVELT ISLAND BRIDGE RAMP,MAIN STREET,ROOSEVELT ISLAND BRIDGE RAMP,MAIN STREET,ADDRESS,NEW YORK,RIVER ROAD,,In Progress,,08 MANHATTAN,10044,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Economic Development Corporation,Noise - Helicopter,Other,Above Address,10023,WEST   74 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,COLUMBUS AVENUE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST   74 STREET,,In Progress,,07 MANHATTAN,10023,MANHATTAN,ONLINE,,MANHATTAN,,,,,,,,Ongoing,2024,
Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11236,EAST  100 STREET,,,,,ADDRESS,BROOKLYN,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,18 BROOKLYN,11236,BROOKLYN,PHONE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10028,EAST   81 STREET,,,,,ADDRESS,NEW YORK,,,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,08 MANHATTAN,10028,MANHATTAN,PHONE,,MANHATTAN,,,,,,,,Less than a day,2024,2024
Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11225,MONTGOMERY STREET,,,,,ADDRESS,BROOKLYN,,,Open,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,09 BROOKLYN,11225,BROOKLYN,ONLINE,,BROOKLYN,,,,,,,,Less than a day,2024,2024
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10457,CLINTON AVENUE,EAST  181 STREET,EAST  182 STREET,EAST  181 STREET,EAST  182 STREET,ADDRESS,BRONX,CLINTON AVENUE,,Closed,The Police Department responded to the complaint and took action to fix the condition.,06 BRONX,10457,BRONX,PHONE,,BRONX,,,,,,,,Less than a day,2024,2024
